"Index","PTBA.JK.Open","PTBA.JK.High","PTBA.JK.Low","PTBA.JK.Close","PTBA.JK.Volume","PTBA.JK.Adjusted"
"2021-03-05",2680,2710,2670,2710,19286700,1208.20910644531
"2021-03-08",2730,2740,2680,2680,18341300,1194.833984375
"2021-03-09",2680,2700,2580,2610,28531500,1163.62561035156
"2021-03-10",2650,2650,2580,2600,16141100,1159.16723632812
"2021-03-12",2650,2740,2630,2730,45093100,1217.12548828125
"2021-03-15",2750,2780,2720,2740,27693700,1221.583984375
"2021-03-16",2750,2760,2700,2710,20082000,1208.20910644531
"2021-03-17",2720,2740,2690,2710,17423100,1208.20910644531
"2021-03-18",2740,2770,2730,2750,42697500,1226.04223632812
"2021-03-19",2750,2780,2720,2760,50493100,1230.50048828125
"2021-03-22",2800,2870,2760,2770,63607300,1234.95886230469
"2021-03-23",2830,2840,2770,2800,39694200,1248.333984375
"2021-03-24",2780,2780,2730,2740,28610400,1221.583984375
"2021-03-25",2740,2750,2660,2690,32469400,1199.29223632812
"2021-03-26",2700,2720,2660,2700,23697000,1203.75061035156
"2021-03-29",2700,2720,2680,2680,14444900,1194.833984375
"2021-03-30",2680,2690,2620,2630,29091500,1172.54223632812
"2021-03-31",2620,2650,2590,2620,24382700,1168.08386230469
"2021-04-01",2650,2670,2620,2650,17046300,1181.458984375
"2021-04-05",2680,2720,2520,2540,72616600,1132.41711425781
"2021-04-06",2530,2540,2440,2520,48211800,1123.50061035156
"2021-04-07",2540,2560,2500,2520,22051100,1123.50061035156
"2021-04-08",2520,2550,2510,2540,18123700,1132.41711425781
"2021-04-09",2540,2560,2530,2540,12621600,1132.41711425781
"2021-04-12",2550,2560,2440,2460,30610800,1096.75048828125
"2021-04-13",2460,2490,2430,2460,27946200,1096.75048828125
"2021-04-14",2400,2430,2390,2420,29522000,1112.70275878906
"2021-04-15",2430,2440,2360,2370,19323000,1089.71313476562
"2021-04-16",2380,2420,2370,2380,20695200,1094.31103515625
"2021-04-19",2390,2450,2380,2420,26395000,1112.70275878906
"2021-04-20",2420,2440,2390,2420,10846000,1112.70275878906
"2021-04-21",2400,2410,2380,2390,10382800,1098.90893554688
"2021-04-22",2390,2410,2340,2360,13289600,1085.115234375
"2021-04-23",2360,2410,2350,2390,11052800,1098.90893554688
"2021-04-26",2380,2440,2370,2390,12495000,1098.90893554688
"2021-04-27",2420,2420,2370,2390,8821700,1098.90893554688
"2021-04-28",2400,2410,2380,2400,6040200,1103.50695800781
"2021-04-29",2420,2440,2400,2420,10663900,1112.70275878906
"2021-04-30",2420,2430,2360,2370,28344800,1089.71313476562
"2021-05-03",2350,2370,2280,2280,30773300,1048.33154296875
"2021-05-04",2280,2310,2270,2300,19078000,1057.52746582031
"2021-05-05",2300,2300,2270,2290,9690200,1052.92956542969
"2021-05-06",2300,2330,2290,2290,13024900,1052.92956542969
"2021-05-07",2300,2320,2280,2280,11633000,1048.33154296875
"2021-05-10",2290,2300,2250,2280,18400000,1048.33154296875
"2021-05-11",2280,2330,2260,2280,24415700,1048.33154296875
"2021-05-17",2320,2330,2250,2260,20751000,1039.1357421875
"2021-05-18",2270,2280,2230,2260,12949900,1039.1357421875
"2021-05-19",2270,2280,2220,2230,17102600,1025.34191894531
"2021-05-20",2230,2240,2150,2160,28546300,993.15625
"2021-05-21",2190,2210,2140,2150,18400400,988.558288574219
"2021-05-24",2190,2200,2120,2120,11103400,974.764404296875
"2021-05-25",2150,2210,2130,2190,16105500,1006.95007324219
"2021-05-27",2190,2220,2180,2180,18092400,1002.35211181641
"2021-05-28",2190,2210,2170,2190,10980900,1006.95007324219
"2021-05-31",2190,2240,2190,2210,11327800,1016.14605712891
"2021-06-02",2240,2370,2230,2350,64936900,1080.51721191406
"2021-06-03",2350,2350,2300,2320,22029200,1066.72338867188
"2021-06-04",2300,2320,2280,2280,12600600,1048.33154296875
"2021-06-07",2280,2280,2220,2220,18213400,1020.74389648438
"2021-06-08",2260,2280,2190,2190,30094000,1006.95007324219
"2021-06-09",2200,2240,2190,2220,21115000,1020.74389648438
"2021-06-10",2240,2250,2200,2200,22824900,1011.54809570312
"2021-06-11",2230,2340,2190,2290,76607700,1052.92956542969
"2021-06-14",2300,2330,2260,2290,21724800,1052.92956542969
"2021-06-15",2290,2290,2220,2240,14850800,1029.93981933594
"2021-06-16",2220,2280,2190,2260,30760900,1039.1357421875
"2021-06-17",2230,2250,2200,2200,21771400,1011.54809570312
"2021-06-18",2180,2210,2110,2120,37712000,974.764404296875
"2021-06-21",2100,2100,2050,2080,22927200,956.372680664062
"2021-06-22",2100,2120,2080,2100,13637600,965.568542480469
"2021-06-23",2110,2120,2050,2050,16552300,942.578857421875
"2021-06-24",2050,2070,2020,2030,14156800,933.382873535156
"2021-06-25",2040,2070,2020,2030,18516800,933.382873535156
"2021-06-28",2050,2070,2010,2010,12391800,924.187072753906
"2021-06-29",2000,2030,1995,2000,13399800,919.589050292969
